NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC
n9045;290210;oc;cox;isquion;l;c;;carnivore;3;;;;;NR;;;;;;7;;;;;;;;;;;;;;
n5034;180113;oc;mp;ext dist;;sto;;;0;f;;24;120;EarlyRoman;;;;;;3;;;;;;;;;;;;;;
n6852;280503;bota;dn;m1 inf ;l;c;;roots;1;M Grant;;96;120;Vand;;;;;;C;;;;;;;;;;;;;;
n11705;***1018;cahi;skull;banya;r;c;;roots, fissures;1;;;;;Vand;;;;;;10;;;;;;;;;;;;;;
n818;260067;bota;dn;inc;l;c;;fissures, roots;1;;;12;60;indet;;;;;;1;;;;;;;;;;;;;;
n11585;290131;oc;cox;ilion;;sto;;carnivore;2;;;;;NA3;;;;;;10;;;;;;;;;;;;;;
n13270;***2314;bota;MC;diaf dist;r;c;;fissures, roots;2;f;;24;120;NR;;;;;;12;;;;;;48,8;27,8;;;;;;;
n8771;290421;bota;MC;ext, prox;l;lat;;fissures;1;;;12;120;NA2;;;;;;6;;;;;;;;;;;;;;
n12801;190022;oc;vert;lumbar;;c;;;0;nf;;6;42;indet;;;;;;11;;;;;;;;;;;;;;
n12997;***1058;oc;cox;ilion;r;c;si;roots;2;;;;;Vand;;;;;;12;;;;;;;;;;;;;;
n3510;280128;bota;vert;axis;;c;si;fissures;1;;;1;3;NA3;;;;;;4;;;;;;;;;;;;;;
n8091;290107;ovar;TI;s;l;c;;weathering, roots;1;nf prox;;24;36;NR;;;;;;6;;;;;;;;;;;;;;
n5486;280204;sudo;skull;frontal;r;c;;roots;1;;;6;24;NA3;;;;;;5;;;;;;;;;;;;;;
n13709;190213;other;dent tauro;;;;;;;;;;;indet;;;;;;12;;;;;;;;;;;;;;
