##########################################
## Reference for Bos taurus. 
## Female cow dated to the Early Bronze Age (Minferri, Catalonia).
## Source:
## Nieto-Espinet A (2018). "Element measure standard biometrical data from a 
## cow dated to the Early Bronze Age (Minferri, Catalonia)." 
## doi: 10.13140/RG.2.2.13512.78081
## https://www.researchgate.net/publication/326010953
##########################################
TAX;EL;Measure;Standard
bota;HU;GL;259
bota;HU;GLc;234
bota;HU;Bp;78,3
bota;HU;Dp;90,2
bota;HU;SD;29
bota;HU;Bd;74,9
bota;HU;BT;68,3
bota;HU;HTC;30,4
bota;HU;Dd;67,8
bota;RA;GL;248,2
bota;RA;Bp;72,9
bota;RA;BFp;67
bota;RA;Dp;39
bota;RA;SD;33
bota;RA;Bd;69,7
bota;RA;BFd;65,3
bota;RA;Dd;49
bota;MC;GL;176
bota;MC;Bp;45,3
bota;MC;Dp;28,5
bota;MC;SD;24
bota;MC;Bd;47,3
bota;MC;Dd;26,9
bota;FE;GL;328,4
bota;FE;Bp;102
bota;FE;Dp;40
bota;FE;SD;30
bota;FE;Bd;85
bota;FE;Dd;114
bota;TI;GL;328
bota;TI;Bp;85
bota;TI;Dp;80
bota;TI;SD;33
bota;TI;Bd;55,2
bota;TI;Dd;42
bota;CAL;GL;123
bota;AS;GLl;62
bota;AS;Bd;39
bota;MT;GL;208
bota;MT;Bp;38,7
bota;MT;Dp;38,5
bota;MT;SD;22,4
bota;MT;Bd;45
bota;MT;Dd;25,4
bota;P1 ant;GL;56
bota;P1 ant;Bp;28
bota;P1 ant;Dp;30
bota;P1 ant;SD;23
bota;P1 ant;Bd;26
bota;P1 ant;Dd;20,3
bota;P1 post;GL;60
bota;P1 post;Bp;26
bota;P1 post;Dp;29,8
bota;P1 post;SD;21
bota;P1 post;Bd;26
bota;P1 post;Dd;29,8
bota;P2 ant;GL;35
bota;P2 ant;Bp;28
bota;P2 ant;Dp;29,2
bota;P2 ant;SD;22,5
bota;P2 ant;Bd;24
bota;P2 ant;Dd;28
bota;P2 post;GL;35,8
bota;P2 post;Bp;25
bota;P2 post;Dp;28,8
bota;P2 post;SD;20,3
bota;P2 post;Bd;22
bota;P2 post;Dd;23,2
