TAX;EL;Measure;Standard
bota;HU;GL;259
bota;HU;GLc;234
bota;HU;Bp;78,3
bota;HU;Dp;90,2
bota;HU;SD;29
bota;HU;Bd;74,9
bota;HU;BT;68,3
bota;HU;HTC;30,4
bota;HU;Dd;67,8
bota;RA;GL;248,2
bota;RA;Bp;72,9
bota;RA;BFp;67
bota;RA;Dp;39
bota;RA;SD;33
bota;RA;Bd;69,7
bota;RA;BFd;65,3
bota;RA;Dd;49
bota;MC;GL;176
bota;MC;Bp;45,3
bota;MC;Dp;28,5
bota;MC;SD;24
bota;MC;Bd;47,3
bota;MC;Dd;26,9
bota;FE;GL;328,4
bota;FE;Bp;102
bota;FE;Dp;40
bota;FE;SD;30
bota;FE;Bd;85
bota;FE;Dd;114
bota;TI;GL;328
bota;TI;Bp;85
bota;TI;Dp;80
bota;TI;SD;33
bota;TI;Bd;55,2
bota;TI;Dd;42
bota;CAL;GL;123
bota;AS;GL;62
bota;AS;Bd;39
bota;MT;GL;208
bota;MT;Bp;38,7
bota;MT;Dp;38,5
bota;MT;SD;22,4
bota;MT;Bd;45
bota;MT;Dd;25,4
bota;P1 ant;GL;56
bota;P1 ant;Bp;28
bota;P1 ant;Dp;30
bota;P1 ant;SD;23
bota;P1 ant;Bd;26
bota;P1 ant;Dd;20,3
bota;P1 post;GL;60
bota;P1 post;Bp;26
bota;P1 post;Dp;29,8
bota;P1 post;SD;21
bota;P1 post;Bd;26
bota;P1 post;Dd;29,8
bota;P2 ant;GL;35
bota;P2 ant;Bp;28
bota;P2 ant;Dp;29,2
bota;P2 ant;SD;22,5
bota;P2 ant;Bd;24
bota;P2 ant;Dd;28
bota;P2 post;GL;35,8
bota;P2 post;Bp;25
bota;P2 post;Dp;28,8
bota;P2 post;SD;20,3
bota;P2 post;Bd;22
bota;P2 post;Dd;23,2
OVAR;Scapula;SLC;18,26
OVAR;Scapula;GLP;30,54
OVAR;Scapula;LG;22,95
OVAR;Scapula;BG;19,66
OVAR;Humerus;GL;137,43
OVAR;Humerus;Bp;37,72
OVAR;Humerus;Dp;40,3
OVAR;Humerus;SD;13,82
OVAR;Humerus;Bd;28,62
OVAR;Humerus;Dd;23,76
OVAR;Humerus;BT;27,27
OVAR;Humerus;HTC;15,3
OVAR;Radius;GL;142,4
OVAR;Radius;Bp;29,7
OVAR;Radius;Dp;14,88
OVAR;Radius;SD;16,03
OVAR;Radius;Bd;27,64
OVAR;Radius;Dd;18,47
OVAR;Ulna;DPA;25,15
OVAR;Ulna;BPC;18,05
OVAR;Metacarpus;GL;119,93
OVAR;Metacarpus;Bp;21,74
OVAR;Metacarpus;Dp;16
OVAR;Metacarpus;SD;14,1
OVAR;Metacarpus;Bd;23,7
OVAR;Metacarpus;Dd;15,71
OVAR;Metacarpus;WCM;10,5
OVAR;Pelvis;LA;25,7
OVAR;Femur;GL;166,78
OVAR;Femur;Bp;44,09
OVAR;Femur;DC;19,36
OVAR;Femur;SD;14,6
OVAR;Femur;Bd;36,88
OVAR;Tibia;GL;193,67
OVAR;Tibia;Bp;39,42
OVAR;Tibia;Dp;41,74
OVAR;Tibia;SD;13,84
OVAR;Tibia;Bd;24,75
OVAR;Tibia;Dd;19,62
OVAR;Astragalus;GLl;26,6
OVAR;Astragalus;Bd;17,21
OVAR;Astragalus;Dl;14,41
OVAR;Calcaneus;GL;52,2
OVAR;Calcaneus;GB;18,66
OVAR;Metatarsus;GL;128,66
OVAR;Metatarsus;Bp;19,01
OVAR;Metatarsus;Dp;19,79
OVAR;Metatarsus;SD;11,87
OVAR;Metatarsus;Bd;22,63
OVAR;Metatarsus;Dd;15,42
OVAR;Metatarsus;WCM;9,65
OVAR;P1 ant;GL;34,74
OVAR;P1 ant;Bp;11,9
OVAR;P1 ant;Dp;14,54
OVAR;P1 ant;SD;9,77
OVAR;P1 ant;Bd;11,05
OVAR;P1 post;GL;34,3
OVAR;P1 post;Bp;11,08
OVAR;P1 post;Dp;14
OVAR;P1 post;SD;8,69
OVAR;P1 post;Bd;9,9
OVAR;P2 ant;GL;21,62
OVAR;P2 ant;Bp;11,11
OVAR;P2 ant;Dp;12,27
OVAR;P2 ant;Bd;9,69
OVAR;P2 post;GL;21,14
OVAR;P2 post;Bp;10,25
OVAR;P2 post;Dp;11,14
OVAR;P2 post;Bd;8,47
OVAR;P3;L;25,5
OVAR;P3;H;14,59
CAHI;Scapula;SLC;27,76
CAHI;Scapula;GLP;40
CAHI;Scapula;LG;30,48
CAHI;Scapula;BG;28,43
CAHI;Humerus;GL;190,5
CAHI;Humerus;Bp;50,88
CAHI;Humerus;Dp;54,11
CAHI;Humerus;SD;21
CAHI;Humerus;Bd;38,82
CAHI;Humerus;Dd;31,1
CAHI;Radius;GL;185,4
CAHI;Radius;Bp;38,92
CAHI;Radius;Dp;20,53
CAHI;Radius;SD;23,21
CAHI;Radius;Bd;36,38
CAHI;Radius;Dd;26,75
CAHI;Ulna;DPA;31,46
CAHI;Ulna;BPC;27,87
CAHI;Metacarpus;GL;121,32
CAHI;Metacarpus;Bp;29,69
CAHI;Metacarpus;Dp;19,54
CAHI;Metacarpus;SD;21,95
CAHI;Metacarpus;Bd;33,29
CAHI;Metacarpus;Dd;19,38
CAHI;Metacarpus;WCM;11,53
CAHI;Pelvis;LA;33,64
CAHI;Femur;GL;202,7
CAHI;Femur;Bp;52,05
CAHI;Femur;DC;24,08
CAHI;Femur;SD;20,4
CAHI;Femur;Bd;42,8
CAHI;Tibia;GL;246,3
CAHI;Tibia;Bp;49,62
CAHI;Tibia;Dp;44,19
CAHI;Tibia;SD;18,57
CAHI;Tibia;Bd;31,33
CAHI;Tibia;Dd;22,76
CAHI;Astragalus;GLl;32,66
CAHI;Astragalus;Bd;21,35
CAHI;Calcaneus;GL;66,27
CAHI;Calcaneus;GB;24,1
CAHI;Metatarsus;GL;133,05
CAHI;Metatarsus;Bp;24,04
CAHI;Metatarsus;Dp;23,6
CAHI;Metatarsus;SD;17,45
CAHI;Metatarsus;Bd;30,14
CAHI;Metatarsus;Dd;18,63
CAHI;Metatarsus;WCM;11,14
CAHI;P1;GL;43,91
CAHI;P1;Bp;15,01
CAHI;P1;Dp;16,91
CAHI;P1;SD;12,64
CAHI;P1;Bd;14,44
CAHI;P1;GL;34,3
CAHI;P2;GL;31,06
CAHI;P2;Bp;13,88
CAHI;P2;Dp;14,97
CAHI;P2;Bd;11,85
CAHI;P3;L;33,41
CAHI;P3;H;18,71
SUDO;Scapula;SLC;28,85
SUDO;Scapula;GLP;43,95
SUDO;Scapula;BG;28,8
SUDO;Humerus;Bp;58,5
SUDO;Humerus;SD;19,25
SUDO;Humerus;Bd;47,4
SUDO;Humerus;BT;35,5
SUDO;Radius;Bp;34,45
SUDO;Radius;SD;21,35
SUDO;Radius;Bd;39
SUDO;Ulna;BPC;25,95
