##########################################
## Reference for Capra hircus. 
## Inv.nr. 1597 (male; adult). 
## Source:
## Stopp B, Deschler-Erb S (2018). "Measurements compiled from the reference 
## collection in the Integrative Prahistorische und Naturwissenschaftliche 
## Archaologie (IPNA, University of Basel, Switzerland)." 
## Personal communication, 
## included permission to publish them as part of the package zoolog.
##########################################
TAX;EL;Measure;Standard
CAHI;Scapula;SLC;23,75
CAHI;Scapula;GLP;37,30
CAHI;Scapula;LG;29,50
CAHI;Scapula;BG;24,15
CAHI;Humerus;SD;20,75
CAHI;Humerus;Bd;33,95
CAHI;Humerus;BT;31,55
CAHI;Radius;Bp;33,30
CAHI;Radius;SD;21,70
CAHI;Radius;BFp;31,20
CAHI;Radius;BFd;27,90
CAHI;Radius;Bd;34,50
CAHI;Ulna;DPA;30,10
CAHI;Ulna;SDO;25,60
CAHI;Metacarpus;Bp;25,60
CAHI;Metacarpus;SD;17,40
CAHI;Metacarpus;Bd;29,25
CAHI;Metacarpus;DD;11,50
CAHI;Pelvis;LA;34,20
CAHI;Pelvis;LAR;29,05
CAHI;Femur;Bp;52,10
CAHI;Femur;DC;24,00
CAHI;Femur;SD;21,90
CAHI;Tibia;SD;18,80
CAHI;Tibia;Bd;30,60
CAHI;Astragalus;GLl;30,40
CAHI;Astragalus;GLm;28,90
CAHI;Astragalus;Bd;20,80
CAHI;Astragalus;Dl;18,00
CAHI;Calcaneus;GL;57,70
CAHI;Calcaneus;GB;20,90
CAHI;Metatarsus;Bp;21,85
CAHI;Metatarsus;SD;14,95
CAHI;Metatarsus;Bd;27,35
CAHI;Metatarsus;DD;12,80
