##########################################
## Reference for Capra hircus. 
## Mean measurements from a group of goats of unknown age and sex.
## Source:
## Clutton-Brock J, Dennis-Bryan K, Armitage PL, Jewell PA (1990). 
## "Osteology of the Soay sheep." 
## Bulletin of the British Museum, Natural History. Zoology, 56(1), 1-56.
##########################################
TAX;EL;Measure;Standard
CAHI;Scapula;SLC;27,76
CAHI;Scapula;GLP;40
CAHI;Scapula;LG;30,48
CAHI;Scapula;BG;28,43
CAHI;Humerus;GL;190,5
CAHI;Humerus;Bp;50,88
CAHI;Humerus;Dp;54,11
CAHI;Humerus;SD;21
CAHI;Humerus;Bd;38,82
CAHI;Humerus;Dd;31,1
CAHI;Radius;GL;185,4
CAHI;Radius;Bp;38,92
CAHI;Radius;Dp;20,53
CAHI;Radius;SD;23,21
CAHI;Radius;Bd;36,38
CAHI;Radius;Dd;26,75
CAHI;Ulna;DPA;31,46
CAHI;Ulna;BPC;27,87
CAHI;Metacarpus;GL;121,32
CAHI;Metacarpus;Bp;29,69
CAHI;Metacarpus;Dp;19,54
CAHI;Metacarpus;SD;21,95
CAHI;Metacarpus;Bd;33,29
CAHI;Metacarpus;Dd;19,38
CAHI;Metacarpus;WCM;11,53
CAHI;Pelvis;LA;33,64
CAHI;Femur;GL;202,7
CAHI;Femur;Bp;52,05
CAHI;Femur;DC;24,08
CAHI;Femur;SD;20,4
CAHI;Femur;Bd;42,8
CAHI;Tibia;GL;246,3
CAHI;Tibia;Bp;49,62
CAHI;Tibia;Dp;44,19
CAHI;Tibia;SD;18,57
CAHI;Tibia;Bd;31,33
CAHI;Tibia;Dd;22,76
CAHI;Astragalus;GLl;32,66
CAHI;Astragalus;Bd;21,35
CAHI;Calcaneus;GL;66,27
CAHI;Calcaneus;GB;24,1
CAHI;Metatarsus;GL;133,05
CAHI;Metatarsus;Bp;24,04
CAHI;Metatarsus;Dp;23,6
CAHI;Metatarsus;SD;17,45
CAHI;Metatarsus;Bd;30,14
CAHI;Metatarsus;Dd;18,63
CAHI;Metatarsus;WCM;11,14
CAHI;P1;GL;43,91
CAHI;P1;Bp;15,01
CAHI;P1;Dp;16,91
CAHI;P1;SD;12,64
CAHI;P1;Bd;14,44
CAHI;P1;GL;34,3
CAHI;P2;GL;31,06
CAHI;P2;Bp;13,88
CAHI;P2;Dp;14,97
CAHI;P2;Bd;11,85
CAHI;P3;L;33,41
CAHI;P3;H;18,71
