##########################################
## Reference for Sus scrofa. 
## Averaged left and right measurements of a female wild board from near 
## Elazig, Turkey. Museum of Comparative Zoology, Harvard University, 
## specimen #51621 
## Source:
## Hongo H, Meadow RH (2000). 
## "Faunal remains from Prepottery Neolithic levels at Cayonu, southeastern 
## Turkey: a preliminary report focusing on pigs (Sus sp.)." 
## In Archaeozoology of the Near East IVA Proceedings of the fourth 
## international symposium on the archaeozoology of southwestern Asia and 
## adjacent areas. Groningen: ARC Publications, 121-139.
##########################################
TAX;EL;Measure;Standard
Sus scrofa;Scapula;SLC;26,5
Sus scrofa;Scapula;GLP;39,4
Sus scrofa;Scapula;LG;32,5
Sus scrofa;Scapula;BG;27,5
Sus scrofa;Scapula;HS;228,1
Sus scrofa;Scapula;DHA;229,6
Sus scrofa;Scapula;Ld;127,9
Sus scrofa;Scapula;SBC;12,7
Sus scrofa;Humerus;Bd;45,9
Sus scrofa;Humerus;BT;37,5
Sus scrofa;Humerus;GLT;32,4
Sus scrofa;Humerus;Bp;58,5
Sus scrofa;Humerus;BFT;34,6
Sus scrofa;Humerus;SD;17,8
Sus scrofa;Humerus;Dp;74,9
Sus scrofa;Humerus;GLC;207,2
Sus scrofa;Humerus;GL;232,3
Sus scrofa;Humerus;Dd;46,2
Sus scrofa;Humerus;LT(mid);21,3
Sus scrofa;Humerus;LT(lat);23,7
Sus scrofa;Radius;Bp;34,2
Sus scrofa;Radius;Bd;39,2
Sus scrofa;Radius;GL;177,0
Sus scrofa;Radius;BFp;34,2
Sus scrofa;Radius;BFd;33,0
Sus scrofa;Radius;SD;19,0
Sus scrofa;Radius;DFd;21,0
Sus scrofa;Ulna;GL;240,9
Sus scrofa;Ulna;LO;72,4
Sus scrofa;Ulna;DPA;42,4
Sus scrofa;Ulna;SDO;32,2
Sus scrofa;Ulna;BPC;25,3
Sus scrofa;Ulna;SBO;11,5
Sus scrofa;Ulna;LPA;29,9
Sus scrofa;Ulna;SLFp;21,5
Sus scrofa;Femur;GL;251,4
Sus scrofa;Femur;Bp;66,8
Sus scrofa;Femur;DC;29,8
Sus scrofa;Femur;Bd;53,2
Sus scrofa;Femur;GLC;250,2
Sus scrofa;Femur;SD;21,0
Sus scrofa;Femur;Dp;37,8
Sus scrofa;Femur;B.tr;26,7
Sus scrofa;Femur;Dd;64,4
Sus scrofa;Tibia;GL;231,3
Sus scrofa;Tibia;Bp;56,7
Sus scrofa;Tibia;Bd;33,5
Sus scrofa;Tibia;SD;20,6
Sus scrofa;Tibia;Dp;57,4
Sus scrofa;Tibia;Dd;30,6
Sus scrofa;Tibia;BFd;25,4
Sus scrofa;Astragalus;GLl;47,5
Sus scrofa;Astragalus;GLm;43,6
Sus scrofa;Astragalus;Bd;27,6
Sus scrofa;Astragalus;LA;38,7
Sus scrofa;Astragalus;Dl;25,0
Sus scrofa;Astragalus;Bp;24,0
Sus scrofa;Calcaneus;GL;95,4
Sus scrofa;Calcaneus;GB;26,8
Sus scrofa;Calcaneus;GDI;34,1
Sus scrofa;Calcaneus;SDTc;22,0
Sus scrofa;Calcaneus;LTc;36,5
Sus scrofa;Calcaneus;Ld;37,6
Sus scrofa;Calcaneus;LFOM;13,1
Sus scrofa;MCII;GL;64,5
Sus scrofa;MCII;BFd;12,5
Sus scrofa;MCII;DFd;16,5
Sus scrofa;MCIII;GL;86,6
Sus scrofa;MCIII;Bp;20,7
Sus scrofa;MCIII;SD;14,6
Sus scrofa;MCIII;BFd;19,1
Sus scrofa;MCIII;DFd;19,7
Sus scrofa;MCIV;GL;87,8
Sus scrofa;MCIV;Bp;19,1
Sus scrofa;MCIV;SD;14,6
Sus scrofa;MCIV;BFd;17,7
Sus scrofa;MCIV;DFd;19,4
Sus scrofa;MCV;GL;63,8
Sus scrofa;MCV;BFd;13,7
Sus scrofa;MCV;DFd;17,6
Sus scrofa;MTII;GL;69,0
Sus scrofa;MTII;BFd;11,4
Sus scrofa;MTII;DFd;16,2
Sus scrofa;MTIII;GL;97,2
Sus scrofa;MTIII;Bp;17,9
Sus scrofa;MTIII;SD;13,3
Sus scrofa;MTIII;BFd;18,4
Sus scrofa;MTIII;DFd;20,3
Sus scrofa;MTIV;GL;105,4
Sus scrofa;MTIV;Bp;17,5
Sus scrofa;MTIV;SD;14,3
Sus scrofa;MTIV;BFd;18,5
Sus scrofa;MTIV;DFd;21,3
Sus scrofa;MTV;GL;73,6
Sus scrofa;MTV;BFd;11,7
Sus scrofa;MTV;DFd;17,0
