##########################################
## Reference for Sus scrofa.
## Measurements based on a sample of modern wild boar, Sus scrofa libycus, 
## (male and female; Kizilcahamam, Turkey).
## Source: 
## Payne S, Bull G (1988). 
## "Components of variation in measurements of pig bones and teeth, and the 
## use of measurements to distinguish wild from domestic pig remains." 
## Archaeozoologia, 2(1), 27-66. 
## (Appendix 2)
##########################################
TAX;EL;Measure;Standard
Sus scrofa;Scapula;SLC;29,8
Sus scrofa;Scapula;GLP;42,6
Sus scrofa;Humerus;Bd;50,0
Sus scrofa;Humerus;BT;35,0
Sus scrofa;Humerus;HTC;22,5
Sus scrofa;Radius;BpP;34,2
Sus scrofa;Radius;Bd;41,3
Sus scrofa;Ulna;DPA;47,3
Sus scrofa;Pelvis;LAR;36,3
Sus scrofa;Femur;DC;30,3
Sus scrofa;Tibia;BdP;34,6
Sus scrofa;Astragalus;GLl;48,7
Sus scrofa;Calcaneus;GL;95,2
Sus scrofa;D4;L;17,2
Sus scrofa;D4;WP;13,2
Sus scrofa;M1;L;20,3
Sus scrofa;M1;WA;15,9
Sus scrofa;M1;WP;16,2
Sus scrofa;M2;L;25,2
Sus scrofa;M2;WA;20,0
Sus scrofa;M2;WP;19,5
Sus scrofa;M3;L;38,8
Sus scrofa;M3;WA;21,7
Sus scrofa;LD4;L;22,7
Sus scrofa;LD4;WP;10,1
Sus scrofa;LM1;L;20,4
Sus scrofa;LM1;WA;11,9
Sus scrofa;LM1;WP;13,0
Sus scrofa;LM2;L;25,4
Sus scrofa;LM2;WA;15,7
Sus scrofa;LM2;WP;16,5
Sus scrofa;LM3;L;41,5
Sus scrofa;LM3;WA;18,3
