##########################################
## Reference for Ovis musimon. 
## Inv.nr. 2266 (male; adult).
## Source:
## Stopp B, Deschler-Erb S (2018). "Measurements compiled from the reference 
## collection in the Integrative Prahistorische und Naturwissenschaftliche 
## Archaologie (IPNA, University of Basel, Switzerland)." 
## Personal communication, 
## included permission to publish them as part of the package zoolog.
##########################################
TAX;EL;Measure;Standard
Ovis orientalis;Scapula;SLC;22,15
Ovis orientalis;Scapula;GLP;37,75
Ovis orientalis;Scapula;LG;27,10
Ovis orientalis;Scapula;BG;23,10
Ovis orientalis;Humerus;SD;15,75
Ovis orientalis;Humerus;Bd;32,80
Ovis orientalis;Humerus;BT;31,45
Ovis orientalis;Radius;Bp;34,40
Ovis orientalis;Radius;SD;17,65
Ovis orientalis;Radius;BFp;32,80
Ovis orientalis;Radius;BFd;25,80
Ovis orientalis;Radius;Bd;32,05
Ovis orientalis;Ulna;DPA;28,80
Ovis orientalis;Ulna;SDO;24,05
Ovis orientalis;Metacarpus;Bp;24,60
Ovis orientalis;Metacarpus;SD;13,60
Ovis orientalis;Metacarpus;Bd;27,20
Ovis orientalis;Metacarpus;DD;10,60
Ovis orientalis;Pelvis;LA;31,10
Ovis orientalis;Pelvis;LAR;27,30
Ovis orientalis;Femur;Bp;51,05
Ovis orientalis;Femur;DC;22,90
Ovis orientalis;Femur;SD;16,40
Ovis orientalis;Tibia;SD;15,90
Ovis orientalis;Tibia;Bd;27,90
Ovis orientalis;Astragalus;GLl;32,10
Ovis orientalis;Astragalus;GLm;30,35
Ovis orientalis;Astragalus;Bd;19,50
Ovis orientalis;Astragalus;Dl;17,95
Ovis orientalis;Astragalus;Dm;18,25
Ovis orientalis;Calcaneus;GL;65,05
Ovis orientalis;Calcaneus;GB;21,25
Ovis orientalis;Metatarsus;Bp;21,60
Ovis orientalis;Metatarsus;SD;12,50
Ovis orientalis;Metatarsus;Bd;25,80
Ovis orientalis;Metatarsus;DD;10,70
