##########################################
## REFERENCE: Davis
## *Ovis aries*.
## Mean values of measurements from a group of adult female Shetland sheep
## skeletons from a single flock
## \insertCite{davis1996measurements}{zoolog}.
## SOURCE:
## Davis SJ (1996). "Measurements of a group of adult female Shetland sheep
## skeletons from a single flock: a baseline for zooarchaeologists."
## Journal of archaeological science, 23(4), 593-612.
##########################################
TAX;EL;Measure;Standard
ovar;HU;GL;117,7
ovar;HU;SD;14,5
ovar;HU;BT;27,1
ovar;HU;HTC;13,7
ovar;RA;GL;137,8
ovar;RA;Bp;30,3
ovar;RA;BFp;27,1
ovar;RA;SD;16
ovar;MC;GL;113,1
ovar;MC;Bp;21,3
ovar;MC;SD;12,7
ovar;MC;Bd;23,7
ovar;TI;GL;186,8
ovar;TI;Davis.SD;11,1
ovar;TI;Bd;25,3
ovar;TI;Dd;19,8
ovar;CAL;GL;52,9
ovar;AS;GLl;27
ovar;AS;Bd;17,8
ovar;AS;Dl;14,9
ovar;MT;GL;122,8
ovar;MT;SD;11
ovar;MT;Bd;22,8
