##########################################
## REFERENCE: Uerpmann
## *Capra aegagrus*.
## Measurements based on female and male *Capra aegagrus*,
## Natural History Museum in London number: BMNH 651 M and L2
## (Taurus Mountains in southern Turkey)
## from \insertCite{uerpmann1994animal;textual}{zoolog}.
## SOURCE:
## Uerpmann M, Uerpmann H (1994).
## "Animal bone finds from excavation 520 at Qala'at al-Bahrain."
## In Hojlund F, Andersen HH (eds.), Gala'at Al-Bahrain. 1
## The Northern City Wall And The Islamic Fortress, 417-444.
## Jutland Archaeological Society.
##########################################
TAX;EL;Measure;Standard
Capra aegagrus;Scapula;SLC;20
Capra aegagrus;Scapula;GLP;35,7
Capra aegagrus;Scapula;LG;28,5
Capra aegagrus;Scapula;BG;24,8
Capra aegagrus;Humerus;Bp;48,8
Capra aegagrus;Humerus;Dp;54
Capra aegagrus;Humerus;SD;16,8
Capra aegagrus;Humerus;Bd;35
Capra aegagrus;Humerus;BT;34,3
Capra aegagrus;Radius;Bp;35,5
Capra aegagrus;Radius;BFp;34,4
Capra aegagrus;Radius;SD;20,3
Capra aegagrus;Radius;Bd;33,3
Capra aegagrus;Ulna;BPC;25,5
Capra aegagrus;Ulna;DPA;29,3
Capra aegagrus;Ulna;SDO;23,5
Capra aegagrus;Metacarpus;Bp;27,5
Capra aegagrus;Metacarpus;Dp;18,5
Capra aegagrus;Metacarpus;SD;18
Capra aegagrus;Metacarpus;Bd;30,5
Capra aegagrus;Metacarpus;Dd;18,3
Capra aegagrus;Femur;Bp;49,8
Capra aegagrus;Femur;DC;23
Capra aegagrus;Femur;SD;17,8
Capra aegagrus;Femur;Bd;42,5
Capra aegagrus;Femur;BTP;19,8
Capra aegagrus;Tibia;Bp;45,8
Capra aegagrus;Tibia;SD;16,3
Capra aegagrus;Tibia;Bd;28
Capra aegagrus;Tibia;Dd;21,5
Capra aegagrus;Astragalus;GLl;32
Capra aegagrus;Astragalus;GLm;29,3
Capra aegagrus;Astragalus;Bd;20,3
Capra aegagrus;Astragalus;Dm;18,5
Capra aegagrus;Calcaneus;GL;65,5
Capra aegagrus;Calcaneus;GB;20,8
Capra aegagrus;Calcaneus;GD;23,3
Capra aegagrus;Metatarsus;Bp;22,5
Capra aegagrus;Metatarsus;Dp;21,3
Capra aegagrus;Metatarsus;SD;14,3
Capra aegagrus;Metatarsus;Bd;28,5
Capra aegagrus;Metatarsus;Dd;17,8
Capra aegagrus;Phalanx 1 ant.;Bp;15,1
Capra aegagrus;Phalanx 1 ant.;SD;12,3
Capra aegagrus;Phalanx 1 ant.;Bd;14,9
Capra aegagrus;Phalanx 1 ant.;GLpe;40,3
Capra aegagrus;Phalanx 1 post.;Bp;13,5
Capra aegagrus;Phalanx 1 post.;SD;10,3
Capra aegagrus;Phalanx 1 post.;Bd;12,9
Capra aegagrus;Phalanx 1 post.;GLpe;40,5
