##########################################
## REFERENCE: Payne
## *Sus scrofa*.
## Measurements based on a sample of modern wild boar, *Sus scrofa libycus*,
## (male and female; Kizilcahamam, Turkey) from
## \insertCite{payne1988components;textual}{zoolog}, Appendix 2.
## SOURCE:
## Payne S, Bull G (1988).
## "Components of variation in measurements of pig bones and teeth, and the
## use of measurements to distinguish wild from domestic pig remains."
## Archaeozoologia, 2(1), 27-66.
## (Appendix 2)
##########################################
TAX;EL;Measure;Standard
Sus scrofa;Scapula;SLC;29,8
Sus scrofa;Scapula;GLP;42,6
Sus scrofa;Humerus;Bd;50,0
Sus scrofa;Humerus;BT;35,0
Sus scrofa;Humerus;HTC;22,5
Sus scrofa;Radius;BpP;34,2
Sus scrofa;Radius;Bd;41,3
Sus scrofa;Ulna;DPA;47,3
Sus scrofa;Pelvis;LAR;36,3
Sus scrofa;Femur;DC;30,3
Sus scrofa;Tibia;BdP;34,6
Sus scrofa;Astragalus;GLl;48,7
Sus scrofa;Calcaneus;GL;95,2
Sus scrofa;dP4 upper;L;17,2
Sus scrofa;dP4 upper;WP;13,2
Sus scrofa;M1 upper;L;20,3
Sus scrofa;M1 upper;WA;15,9
Sus scrofa;M1 upper;WP;16,2
Sus scrofa;M2 upper;L;25,2
Sus scrofa;M2 upper;WA;20,0
Sus scrofa;M2 upper;WP;19,5
Sus scrofa;M3 upper;L;38,8
Sus scrofa;M3 upper;WA;21,7
Sus scrofa;dP4 lower;L;22,7
Sus scrofa;dP4 lower;WP;10,1
Sus scrofa;M1 lower;L;20,4
Sus scrofa;M1 lower;WA;11,9
Sus scrofa;M1 lower;WP;13,0
Sus scrofa;M2 lower;L;25,4
Sus scrofa;M2 lower;WA;15,7
Sus scrofa;M2 lower;WP;16,5
Sus scrofa;M3 lower;L;41,5
Sus scrofa;M3 lower;WA;18,3
