##########################################
## REFERENCE:Uerpmann
## *Ovis orientalis*.
## Field Museum of Chicago catalogue number: FMC 57951 (female; western Iran)
## from \insertCite{uerpmann1994animal;textual}{zoolog}.
## SOURCE:
## Uerpmann M, Uerpmann H (1994).
## "Animal bone finds from excavation 520 at Qala'at al-Bahrain."
## In Hojlund F, Andersen HH (eds.), Gala'at Al-Bahrain. 1
## The Northern City Wall And The Islamic Fortress, 417-444.
## Jutland Archaeological Society.
##########################################
TAX;EL;Measure;Standard
Ovis orientalis;Scapula;SLC;19,5
Ovis orientalis;Scapula;GLP;33
Ovis orientalis;Scapula;LG;26
Ovis orientalis;Scapula;BG;22
Ovis orientalis;Humerus;Bp;44
Ovis orientalis;Humerus;Dp;46,5
Ovis orientalis;Humerus;SD;15,5
Ovis orientalis;Humerus;Bd;33
Ovis orientalis;Humerus;BT;29,5
Ovis orientalis;Radius;Bp;33,5
Ovis orientalis;Radius;BFp;30,5
Ovis orientalis;Radius;SD;16
Ovis orientalis;Radius;Bd;31
Ovis orientalis;Radius;BFd;25,5
Ovis orientalis;Ulna;BPC;19
Ovis orientalis;Ulna;DPA;27,5
Ovis orientalis;Metacarpus;Bp;25
Ovis orientalis;Metacarpus;Dp;17,5
Ovis orientalis;Metacarpus;SD;14,3
Ovis orientalis;Metacarpus;Bd;26,5
Ovis orientalis;Metacarpus;Dd;16,6
Ovis orientalis;Femur;Bp;48
Ovis orientalis;Femur;DC;21,1
Ovis orientalis;Femur;SD;17,5
Ovis orientalis;Femur;Bd;39,5
Ovis orientalis;Femur;BTP;19,5
Ovis orientalis;Tibia;Bp;42,5
Ovis orientalis;Tibia;SD;16
Ovis orientalis;Tibia;Bd;26,5
Ovis orientalis;Tibia;Dd;20,5
Ovis orientalis;Astragalus;GLl;31,3
Ovis orientalis;Astragalus;GLm;29,3
Ovis orientalis;Astragalus;Bd;19,6
Ovis orientalis;Astragalus;Dl;17,4
Ovis orientalis;Calcaneus;GL;64
Ovis orientalis;Calcaneus;GB;20,5
Ovis orientalis;Calcaneus;GD;24,5
Ovis orientalis;Metatarsus;Bp;22,5
Ovis orientalis;Metatarsus;Dp;22,5
Ovis orientalis;Metatarsus;SD;12
Ovis orientalis;Metatarsus;Bd;26
Ovis orientalis;Metatarsus;Dd;17
Ovis orientalis;Phalanx 1 ant.;Bp;13,2
Ovis orientalis;Phalanx 1 ant.;SD;10
Ovis orientalis;Phalanx 1 ant.;Bd;12,4
Ovis orientalis;Phalanx 1 ant.;GLpe;38,5
Ovis orientalis;Phalanx 1 post.;Bp;12,8
Ovis orientalis;Phalanx 1 post.;SD;8,9
Ovis orientalis;Phalanx 1 post.;Bd;11,3
Ovis orientalis;Phalanx 1 post.;GLpe;40
