Genus;Taxon;Source;Filename
Cattle - *Bos*;Bos taurus;Nieto;referenceCattle_Nieto.csv
Cattle - *Bos*;Bos taurus;Basel;referenceCattle_Basel.csv
Cattle - *Bos*;Bos taurus;Johnstone;referenceCattle_Johnstone.csv
Cattle - *Bos*;Bos primigenius;Degerbol;referenceCattle_Degerbol.csv
Sheep - *Ovis*;Ovis aries;Davis;referenceSheep_Davis.csv
Sheep - *Ovis*;Ovis aries;Clutton;referenceSheep_Clutton.csv
Sheep - *Ovis*;Ovis orientalis;Basel;referenceSheep_Basel.csv
Sheep - *Ovis*;Ovis orientalis;Uerpmann;referenceSheep_Uerpmann.csv
Goat - *Capra*;Capra hircus;Basel;referenceGoat_Basel.csv
Goat - *Capra*;Capra hircus;Clutton;referenceGoat_Clutton.csv
Goat - *Capra*;Capra aegagrus;Uerpmann;referenceGoat_Uerpmann.csv
Pig - *Sus*;Sus domesticus;Albarella;referencePig_Albarella.csv
Pig - *Sus*;Sus scrofa;Basel;referencePig_Basel.csv
Pig - *Sus*;Sus scrofa;Hongo;referencePig_Hongo.csv
Pig - *Sus*;Sus scrofa;Payne;referencePig_Payne.csv
Red deer - *Cervus*;Cervus elaphus;Basel;referenceRedDeer_Basel.csv
Fallow deer - *Dama*;Dama mesopotamica;Haifa;referenceDama_Haifa.csv
Gazelle - *Gazella*;Gazella gazella;Haifa;referenceGazelle_Haifa.csv
Equid - *Equus*;Equus asinus;Haifa;referenceEquid_Haifa.csv
Equid - *Equus*;Equus caballus;Johnstone;referenceEquid_Johnstone.csv
European rabbit - *Oryctolagus*;Oryctolagus cuniculus;Nottingham;referenceRabbit_Nottingham.csv

