TAX;EL;Measure;Standard
bota;HU;GL;259
bota;HU;GLc;234
bota;HU;Bp;78,3
bota;HU;Dp;90,2
bota;HU;SD;29
bota;HU;Bd;74,9
bota;HU;BT;68,3
bota;HU;HTC;30,4
bota;HU;Dd;67,8
bota;RA;GL;248,2
bota;RA;Bp;72,9
bota;RA;BFp;67
bota;RA;Dp;39
bota;RA;SD;33
bota;RA;Bd;69,7
bota;RA;BFd;65,3
bota;RA;Dd;49
bota;MC;GL;176
bota;MC;Bp;45,3
bota;MC;Dp;28,5
bota;MC;SD;24
bota;MC;Bd;47,3
bota;MC;Dd;26,9
bota;FE;GL;328,4
bota;FE;Bp;102
bota;FE;Dp;40
bota;FE;SD;30
bota;FE;Bd;85
bota;FE;Dd;114
bota;TI;GL;328
bota;TI;Bp;85
bota;TI;Dp;80
bota;TI;SD;33
bota;TI;Bd;55,2
bota;TI;Dd;42
bota;CAL;GL;123
bota;AS;GL;62
bota;AS;Bd;39
bota;MT;GL;208
bota;MT;Bp;38,7
bota;MT;Dp;38,5
bota;MT;SD;22,4
bota;MT;Bd;45
bota;MT;Dd;25,4
bota;P1 ant;GL;56
bota;P1 ant;Bp;28
bota;P1 ant;Dp;30
bota;P1 ant;SD;23
bota;P1 ant;Bd;26
bota;P1 ant;Dd;20,3
bota;P1 post;GL;60
bota;P1 post;Bp;26
bota;P1 post;Dp;29,8
bota;P1 post;SD;21
bota;P1 post;Bd;26
bota;P1 post;Dd;29,8
bota;P2 ant;GL;35
bota;P2 ant;Bp;28
bota;P2 ant;Dp;29,2
bota;P2 ant;SD;22,5
bota;P2 ant;Bd;24
bota;P2 ant;Dd;28
bota;P2 post;GL;35,8
bota;P2 post;Bp;25
bota;P2 post;Dp;28,8
bota;P2 post;SD;20,3
bota;P2 post;Bd;22
bota;P2 post;Dd;23,2
ovar;HU;GL;117,7
ovar;HU;SD;14,5
ovar;HU;BT;27,1
ovar;HU;HTC;13,7
ovar;RA;GL;137,8
ovar;RA;Bp;30,3
ovar;RA;BFp;27,1
ovar;RA;SD;16
ovar;MC;GL;113,1
ovar;MC;Bp;21,3
ovar;MC;SD;12,7
ovar;MC;Bd;23,7
ovar;TI;GL;186,8
ovar;TI;SD;11,1
ovar;TI;Bd;25,3
ovar;TI;Dd;19,8
ovar;CAL;GL;52,9
ovar;AS;GL;27
ovar;AS;Bd;17,8
ovar;AS;Dl;14,9
ovar;MT;GL;122,8
ovar;MT;SD;11
ovar;MT;Bd;22,8
sudo;AS;GL;61,6
sudo;AS;Bd;37,1
sudo;TI;Bd;55,2
sudo;TI;Dd;40,9
sudo;CAL;GL;122,5
sudo;RA;Bd;64,1
sudo;HU;HTC;30,4
sudo;HU;BT;66,5
sudo;MC;GL;177,1
sudo;MC;Bd;54,6
sudo;MT;Bd;51,5
