NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC;logGL;logBp;logDp;logSD;logDD;logBd;logDd;logBT;logHTC;logSLC;Length;Width;Depth
n13270;***2314;bota;MC;diaf dist;r;c;;fissures, roots;2;f;;24;120;NR;;;;;;12;;;;;;48,8;27,8;;;;;;;;;;;;;0,013558681264899;0,0142925159156683;;;;;0,013558681264899;0,0142925159156683
n8401;290311;oc;HU;diaf dist;l;c;;fissures, weathering, roots;2;f;;9;120;NR;;;;;;6;;;;;;33,4;30,3;33;;;;;;;;;;;;;;0,0855446490034817;;;;0,0855446490034817;
n4812;280138;ovar;MC;ext dist;l;c;si;roots;1;f;;24;120;NA3;;;;;;4;;;;;;25,1;17,1;;;;;;;;;;;;;0,0249253754709343;;;;;;0,0249253754709343;
n10479;290217;bota;MT;diaf dist;r;c;;carnivore;1;f;;24;120;NA3;;;;;;8;;;;;;46,6;26,6;;;22,5;19,9;21,6;18,7;;;;;;;0,0151734029146565;0,020047920011129;;;;;0,0151734029146565;0,020047920011129
n9143;290208;bota;MT;ext prox;;c;;fissures;1;;;;;NR;;;;;;7;;43,1;41,4;;;;;;;;;;;;;0,0467663051418202;0,0315396116123982;;;;;;;;;0,0467663051418202;0,0315396116123982
n10910;290432;bota;MT;diaf prox;r;c;;fissures, weathering;1;;;24;120;NA1;;;;;;9;;43,7;40,5;;;;;;;;;;;;;0,0527704719515104;0,0219942937061679;;;;;;;;;0,0527704719515104;0,0219942937061679
n10732;290432;oc;AS;;r;c;;burnt;4;;;;;NA1;;;;;;9;32,7;18,6;21,3;;;;;;;;;;;;0,0831839885012988;;;;;;;;;;0,0831839885012988;;
n9298;290207;bota;AS;;l;c;;;0;;;12;120;NR;;;;;;7;66,7;44,5;36,8;;;;;;;;;;;;0,0317341444182951;;;;;;;;;;0,0317341444182951;;
n11627;***1030;oc;AS;;l;c;;roots;1;;;;;Vand;;;;;;10;29,7;15,6;19,7;;;;;;;;;;;;0,041392685158225;;;;;;;;;;0,041392685158225;;
n2735;270005;oc;AS;;l;c;;weathering;1;;;12;120;Vand;;;;;;2;34,6;19,5;21,9;;;;;;;;;;;;0,107712334633789;;;;;;;;;;0,107712334633789;;
n12075;190030;bota;AS;;l;lat;;weathering;3;;;;;EarlyRoman;;;;;;11;60,9;;;;;;;;;;;;;;-0,00777439686537855;;;;;;;;;;-0,00777439686537855;;
n3656;280106;bota;MT;diaf dist;r;c;;roots;1;f;;24;120;NA3;;;;;;4;;;;;21;48,1;26,9;;;;;;;;;;;;;0,0289325625984881;0,0249185633824699;;;;;0,0289325625984881;0,0249185633824699
n12670;***1040;oc;RA;ext prox;r;c;;roots;1;ec;;8;9;Med;;;;;;11;;31,1;16,4;;;;;;;;;;;;;0,0113177605245325;;;;;;;;;;0,0113177605245325;
n12818;190022;bota;AS;;l;c;;weathering, roots;2;;;;;indet;;;;;;11;;;;;;36,2;;;;;;;;;;;;;;-0,0323560364933335;;;;;;-0,0323560364933335;
n3402;280134;bota;RA;diaf prox;l;c;si;fissures;2;f;;12;120;NA3;;;;;;4;;85;;43;;;;;;;;;;;;0,0666913973963181;;0,114954515701699;;;;;;;;0,0666913973963181;
n5048;180097;oc;AS;;r;c;;carnivore;1;;;9;120;EarlyRoman;;;;;;3;28,3;15,9;17,9;;;;;;;;;;;;0,020422671365303;;;;;;;;;;0,020422671365303;;
n8181;290109;bota;RA;diaf prox;r;c;;fissures, roots;2;f prox;;12;120;NR;;;;;;6;;68,7;32,9;;;;;;;;;;;;;-0,0257707912584242;-0,0738687090765249;;;;;;;;;-0,0257707912584242;-0,0738687090765249
n1937;270300;oc;TI;diaf dist;r;c;si;roots;1;f;;15;120;Vand;;;;;;1;;;;;27;21,3;;;;;;;;;;;;;0,38604078537233;-0,0747409177370802;;;;;;-0,0747409177370802;0,38604078537233
n503;160048;oc;MC;diaf prox;r;c;;roots i fissures;1;nf dist;;12;24;EarlyRoman;;;;;;;;26,1;19,3;15,9;11,1;;;;;;;;;;;0,0882609038995432;;0,0975934033644946;;;;;;;;0,0882609038995432;
n12866;***1065;ovar;AS;;r;c;;;0;;;;;EarlyRoman;;;;;;12;27,3;;;;;17,6;;;;;;;;;0,00479888288176871;;;;;-0,00490733449474412;;;;;0,00479888288176871;-0,00490733449474412;
n12056;190030;bota;P1 ant;diaf prox;;c;;roots, fissures, weathering;2;f;;24;120;EarlyRoman;;;;;;11;;25,5;27,9;;;;;;;;;;;;;-0,0406178509082641;-0,0315170514460649;;;;;;;;;-0,0406178509082641;-0,0315170514460649
n843;160028;oc;HU;diaf dist;l;c;;fissures, roots;2;f;;9;120;Vand;;;;;;;;;;;;;23;29,1;;;;;;;;;;;;;;0,0309236981115015;;;;0,0309236981115015;
n5704;280221;oc;AS;;l;c;;;0;;;9;120;NA3;;;;;;5;30;16,8;19;;;;;;;;;;;;0,0457574905606751;;;;;;;;;;0,0457574905606751;;
n1001;270002;bota;MT;g-s;l;c;si;fissures, roots;2;f;;24;120;indet;;;;;;1;218;48,8;44,7;27,5;24,2;;;;;;;;;;0,0203931586418433;0,100708856983799;0,0648467936234358;0,0890846754960998;;;;;;;0,0203931586418433;0,100708856983799;0,0648467936234358
n2394;270064;bota;TI;diaf dist;l;c;si;fissures;2;f dist;;24;120;NR;;;;;;2;;;;;55;44,5;;;;;;;;;;;;;;-0,0935790667482674;;;;;;-0,0935790667482674;
n10901;290432;bota;TI;diaf dist;l;c;;fissures, burnt;3;f;;30;120;NA1;;;;;;9;;;;;56,1;41,1;;;;;;;;;;;;;;-0,12809725585313;;;;;;-0,12809725585313;
n3037;180025;bota;AS;;l;c;;fissures, weathering;2;;;12;120;Indet;;;;;;3;60,3;33,5;38,8;;;;;;;;;;;;-0,0120743773581026;;;;;;;;;;-0,0120743773581026;;
n12816;190022;bota;AS;;l;c;;roots;2;;;;;indet;;;;;;11;67,4;;;;;46;;;;;;;;;0,036268207037066;;;;;0,0716932246550749;;;;;0,036268207037066;0,0716932246550749;
n12600;190019;oc;TI;s;r;c;;roots;1;f dist, nf prox;;15;42;indet;;;;;;11;;;;;;27,5;22,2;;;;;;;;;;;;;0,0362121726544447;0,0496877841891075;;;;;0,0362121726544447;0,0496877841891075
n2548;270127;oc;TI;diaf dist;r;c;si;burnt, roots;1;f;;15;120;NR;;;;;;2;;;;14;26,2;21;;;;;;;;;;;;;0,372978312533088;-0,0809012264418987;;;;;;-0,0809012264418987;0,372978312533088
